Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Feasibility Score
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,145.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,140.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,164.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,159.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,158.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,FPGA,153.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,CPU,CPU,137.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,CPU,FPGA,132.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,FPGA,CPU,131.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,CPU,FPGA,FPGA,126.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,CPU,CPU,150.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,CPU,FPGA,145.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,CPU,144.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,FPGA,139.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,CPU,CPU,150.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,CPU,FPGA,145.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,CPU,144.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,FPGA,139.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,CPU,163.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,FPGA,158.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,CPU,157.0
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,FPGA,152.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,CPU,CPU,141.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,CPU,FPGA,136.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,FPGA,CPU,135.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,FPGA,FPGA,130.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,CPU,CPU,154.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,CPU,FPGA,149.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,CPU,148.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,FPGA,143.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,CPU,CPU,154.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,CPU,FPGA,149.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,CPU,148.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,FPGA,143.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,CPU,167.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,FPGA,162.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,CPU,161.0
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,FPGA,156.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,CPU,CPU,140.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,CPU,FPGA,135.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,FPGA,CPU,134.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,FPGA,FPGA,129.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,153.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,148.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,147.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,142.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,153.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,148.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,147.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,142.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,166.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,161.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,160.0
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,155.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,135.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,130.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,129.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,124.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,148.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,143.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,142.0
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,137.0
