Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Total Risk
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,23.563512361466326
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,25.8756038647343
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,20.64684569479966
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,23.792270531400966
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,18.563512361466323
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,27.5912901392441
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,22.36253196930946
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,25.507956805910766
RPi-SPI,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,20.279198635976126
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,27.777777777777775
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,22.549019607843135
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,25.694444444444443
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,20.465686274509803
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,29.49346405228758
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,24.264705882352942
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,27.410130718954246
RPi-SPI,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,FPGA,22.181372549019606
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,CPU,CPU,CPU,26.292270531400966
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,CPU,CPU,FPGA,21.063512361466326
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,CPU,FPGA,CPU,23.973429951690818
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,CPU,FPGA,FPGA,18.74467178175618
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,FPGA,CPU,CPU,28.00795680591077
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,FPGA,CPU,FPGA,22.77919863597613
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,CPU,25.689116226200625
RPi-SPI,Center PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,FPGA,20.46035805626598
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,CPU,CPU,CPU,28.194444444444443
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,CPU,CPU,FPGA,22.965686274509803
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,CPU,25.8756038647343
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,FPGA,20.64684569479966
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,CPU,29.91013071895425
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,FPGA,24.68137254901961
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,CPU,27.591290139244105
RPi-SPI,Center PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,FPGA,22.362531969309465
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,CPU,CPU,CPU,26.254391743522177
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,CPU,CPU,FPGA,21.025633573587537
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,CPU,FPGA,CPU,24.17105841018884
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,CPU,FPGA,FPGA,18.942300240254202
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,FPGA,CPU,CPU,28.3756038647343
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,FPGA,CPU,FPGA,23.14684569479966
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,CPU,26.292270531400966
RPi-SPI,Center PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,FPGA,21.063512361466323
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,CPU,CPU,CPU,28.156565656565657
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,CPU,CPU,FPGA,22.927807486631018
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,CPU,26.073232323232325
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,FPGA,20.844474153297682
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,CPU,30.27777777777778
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,FPGA,25.04901960784314
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,CPU,28.194444444444446
RPi-SPI,Center PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,FPGA,22.965686274509807
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,CPU,CPU,CPU,26.671058410188845
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,CPU,CPU,FPGA,21.442300240254205
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,CPU,FPGA,CPU,24.3522178304787
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,CPU,FPGA,FPGA,19.123459660544057
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,28.792270531400966
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,23.563512361466326
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,26.473429951690818
RPi-SPI,Center PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,21.24467178175618
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,28.573232323232325
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,23.344474153297686
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,26.254391743522177
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,21.025633573587537
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,30.694444444444446
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,25.465686274509807
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,28.3756038647343
RPi-SPI,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,23.14684569479966
