index,start_ms,end_ms,duration_ms
496,7555351.437,7555361.301,9.864
497,7555361.302,7555371.206,9.904
498,7555371.206,7555381.094,9.888
499,7555381.095,7555390.943,9.849
500,7555390.944,7555400.799,9.855
501,7555400.799,7555410.695,9.895
502,7555410.695,7555420.588,9.893
503,7555420.588,7555430.444,9.855
504,7555430.444,7555440.333,9.889
505,7555440.334,7555450.197,9.863
506,7555450.197,7555460.093,9.896
507,7555460.094,7555469.939,9.846
508,7555469.940,7555479.793,9.853
509,7555479.794,7555489.682,9.888
510,7555489.682,7555499.577,9.895
511,7555499.577,7555509.426,9.849
512,7555509.426,7555519.275,9.849
513,7555519.276,7555529.161,9.885
514,7555529.161,7555539.074,9.912
515,7555539.074,7555548.927,9.853
516,7555548.928,7555558.842,9.915
517,7555558.843,7555568.744,9.901
518,7555568.777,7555578.671,9.894
519,7555578.671,7555588.517,9.846
520,7555588.517,7555598.378,9.860
521,7555598.378,7555608.394,10.016
522,7555608.395,7555618.342,9.947
523,7555618.342,7555628.209,9.867
524,7555628.210,7555638.085,9.875
525,7555638.085,7555647.986,9.900
526,7555647.986,7555657.934,9.947
527,7555657.934,7555667.827,9.893
528,7555667.827,7555677.688,9.861
529,7555677.689,7555687.579,9.891
530,7555687.580,7555697.517,9.937
531,7555697.518,7555707.397,9.879
532,7555707.397,7555717.263,9.865
533,7555717.263,7555727.161,9.898
534,7555727.161,7555737.090,9.928
535,7555737.090,7555746.966,9.876
536,7555746.967,7555756.855,9.888
537,7555756.855,7555766.748,9.893
538,7555766.749,7555776.659,9.910
539,7555776.660,7555786.542,9.882
540,7555786.542,7555796.393,9.851
541,7555796.393,7555806.296,9.902
542,7555806.297,7555816.200,9.903
543,7555816.200,7555826.092,9.892
544,7555826.092,7555835.929,9.836
545,7555835.929,7555845.833,9.904
546,7555845.834,7555855.727,9.893
547,7555855.727,7555865.605,9.878
548,7555865.605,7555875.448,9.843
549,7555875.448,7555885.345,9.897
550,7555885.346,7555895.238,9.892
551,7555895.238,7555905.119,9.881
552,7555905.120,7555914.968,9.848
553,7555914.968,7555924.864,9.895
554,7555924.864,7555934.755,9.891
555,7555934.755,7555944.635,9.881
556,7555944.636,7555954.484,9.849
557,7555954.485,7555964.396,9.911
558,7555964.397,7555974.310,9.913
559,7555974.311,7555984.169,9.859
560,7555984.170,7555994.026,9.856
561,7555994.026,7556003.909,9.883
562,7556003.910,7556013.842,9.932
563,7556013.842,7556023.720,9.878
564,7556023.720,7556033.571,9.851
565,7556033.572,7556043.462,9.890
566,7556043.463,7556053.402,9.938
567,7556053.402,7556063.273,9.871
568,7556063.273,7556073.122,9.849
569,7556073.123,7556083.027,9.904
570,7556083.027,7556092.936,9.909
571,7556092.936,7556102.842,9.906
572,7556102.842,7556112.696,9.854
573,7556112.698,7556122.584,9.886
574,7556122.584,7556132.491,9.906
575,7556132.491,7556142.373,9.882
576,7556142.373,7556152.223,9.850
577,7556152.223,7556162.098,9.875
578,7556162.099,7556172.000,9.901
579,7556172.031,7556181.918,9.888
580,7556181.918,7556191.765,9.846
581,7556191.765,7556201.629,9.863
582,7556201.629,7556211.529,9.900
583,7556211.529,7556221.411,9.882
584,7556221.411,7556231.260,9.850
585,7556231.261,7556241.117,9.856
586,7556241.117,7556251.024,9.907
587,7556251.025,7556260.923,9.898
588,7556260.923,7556270.772,9.848
589,7556270.772,7556280.625,9.853
590,7556280.626,7556290.520,9.894
591,7556290.520,7556300.424,9.903
592,7556300.424,7556310.269,9.845
593,7556310.269,7556320.127,9.858
594,7556320.128,7556330.037,9.909
595,7556330.037,7556339.935,9.898
596,7556339.935,7556349.788,9.852
597,7556349.788,7556359.645,9.857
598,7556359.646,7556369.535,9.889
599,7556369.535,7556379.433,9.897
600,7556379.433,7556389.293,9.860
601,7556389.294,7556399.185,9.891
602,7556399.185,7556409.113,9.928
603,7556409.114,7556419.027,9.913
604,7556419.027,7556428.924,9.896
605,7556428.924,7556438.866,9.942
606,7556438.867,7556448.781,9.914
607,7556448.781,7556458.675,9.894
608,7556458.675,7556468.586,9.911
609,7556468.587,7556478.499,9.912
610,7556478.499,7556488.490,9.991
611,7556488.491,7556498.433,9.942
612,7556498.434,7556508.310,9.876
613,7556508.310,7556518.167,9.857
614,7556518.168,7556528.074,9.906
615,7556528.075,7556537.991,9.917
616,7556537.992,7556547.887,9.896
617,7556547.888,7556557.740,9.852
618,7556557.740,7556567.623,9.883
619,7556567.624,7556577.529,9.904
620,7556577.529,7556587.408,9.879
621,7556587.409,7556597.266,9.858
622,7556597.267,7556607.161,9.894
623,7556607.161,7556617.087,9.926
624,7556617.088,7556626.965,9.877
625,7556626.965,7556636.842,9.877
626,7556636.843,7556646.738,9.895
627,7556646.738,7556656.646,9.908
628,7556656.646,7556666.527,9.881
629,7556666.528,7556676.387,9.860
630,7556676.388,7556686.265,9.877
631,7556686.266,7556696.160,9.894
632,7556696.160,7556706.057,9.896
633,7556706.057,7556715.904,9.847
634,7556715.905,7556725.792,9.887
635,7556725.792,7556735.690,9.897
636,7556735.690,7556745.568,9.878
637,7556745.568,7556755.413,9.845
638,7556755.414,7556765.303,9.889
639,7556765.303,7556775.259,9.955
640,7556775.259,7556785.112,9.853
641,7556785.112,7556794.965,9.853
642,7556794.965,7556804.853,9.888
643,7556804.854,7556814.750,9.896
644,7556814.751,7556824.631,9.881
645,7556824.632,7556834.479,9.848
646,7556834.510,7556844.409,9.899
647,7556844.409,7556854.344,9.935
648,7556854.345,7556864.205,9.860
649,7556864.205,7556874.070,9.864
650,7556874.070,7556883.965,9.895
651,7556883.966,7556893.945,9.980
652,7556893.946,7556903.822,9.877
653,7556903.822,7556913.668,9.846
654,7556913.669,7556923.561,9.892
655,7556923.561,7556933.497,9.936
656,7556933.497,7556943.360,9.863
657,7556943.361,7556953.206,9.845
658,7556953.206,7556963.100,9.894
659,7556963.101,7556972.998,9.897
660,7556972.998,7556982.902,9.904
661,7556982.903,7556992.754,9.851
662,7556992.754,7557002.648,9.894
663,7557002.649,7557012.603,9.954
664,7557012.603,7557022.502,9.900
665,7557022.503,7557032.353,9.851
666,7557032.354,7557042.227,9.873
667,7557042.227,7557052.129,9.901
668,7557052.129,7557062.019,9.890
669,7557062.019,7557071.867,9.849
670,7557071.868,7557081.736,9.869
671,7557081.737,7557091.647,9.910
672,7557091.647,7557101.533,9.886
673,7557101.533,7557111.382,9.848
674,7557111.382,7557121.235,9.853
675,7557121.236,7557131.131,9.894
676,7557131.131,7557141.024,9.893
677,7557141.024,7557150.878,9.854
678,7557150.878,7557160.734,9.856
679,7557160.734,7557170.620,9.886
680,7557170.620,7557180.544,9.924
681,7557180.544,7557190.369,9.825
682,7557190.369,7557200.225,9.855
683,7557200.225,7557210.115,9.890
684,7557210.116,7557220.024,9.909
685,7557220.025,7557229.879,9.854
686,7557229.879,7557239.770,9.890
687,7557239.770,7557249.699,9.928
688,7557249.699,7557259.573,9.874
689,7557259.573,7557269.425,9.852
690,7557269.425,7557279.307,9.882
691,7557279.307,7557289.213,9.906
692,7557289.214,7557299.100,9.887
693,7557299.101,7557308.945,9.844
694,7557308.945,7557318.857,9.912
695,7557318.858,7557328.765,9.907
696,7557328.766,7557338.658,9.892
697,7557338.658,7557348.565,9.907
698,7557348.566,7557358.456,9.891
699,7557358.457,7557368.376,9.919
700,7557368.377,7557378.254,9.877
701,7557378.254,7557388.101,9.847
702,7557388.102,7557397.964,9.863
703,7557397.965,7557407.887,9.923
704,7557407.888,7557417.773,9.886
705,7557417.774,7557427.620,9.846
706,7557427.620,7557437.484,9.865
707,7557437.485,7557447.389,9.904
708,7557447.390,7557457.278,9.888
709,7557457.278,7557467.128,9.850
710,7557467.128,7557476.973,9.845
711,7557476.974,7557486.884,9.910
712,7557486.884,7557496.785,9.900
713,7557496.785,7557506.670,9.885
714,7557506.670,7557516.569,9.899
715,7557516.569,7557526.482,9.913
716,7557526.483,7557536.392,9.909
717,7557536.393,7557546.273,9.880
718,7557546.273,7557556.118,9.845
719,7557556.118,7557566.019,9.900
720,7557566.019,7557575.918,9.899
721,7557575.918,7557585.811,9.892
722,7557585.811,7557595.655,9.844
723,7557595.655,7557605.563,9.908
724,7557605.563,7557615.456,9.892
725,7557615.456,7557625.338,9.882
726,7557625.338,7557635.186,9.848
727,7557635.186,7557645.080,9.894
728,7557645.081,7557654.976,9.895
729,7557654.977,7557664.867,9.890
730,7557664.867,7557674.716,9.849
731,7557674.717,7557684.628,9.911
732,7557684.628,7557694.486,9.858
733,7557694.486,7557704.370,9.883
734,7557704.370,7557714.221,9.851
735,7557714.221,7557724.108,9.887
736,7557724.109,7557733.996,9.887
737,7557733.996,7557743.893,9.897
738,7557743.893,7557753.740,9.847
739,7557753.740,7557763.630,9.890
740,7557763.631,7557773.622,9.991
741,7557773.622,7557783.509,9.887
742,7557783.510,7557793.359,9.849
743,7557793.360,7557803.243,9.884
744,7557803.244,7557813.168,9.924
745,7557813.169,7557823.078,9.909
746,7557823.078,7557832.929,9.851
747,7557832.930,7557842.834,9.904
748,7557842.834,7557852.735,9.901
749,7557852.735,7557862.617,9.882
750,7557862.617,7557872.461,9.844
751,7557872.462,7557882.348,9.886
752,7557882.349,7557892.246,9.897
753,7557892.246,7557902.128,9.882
754,7557902.128,7557911.976,9.848
755,7557911.976,7557921.854,9.878
756,7557921.855,7557931.740,9.885
757,7557931.740,7557941.641,9.901
758,7557941.641,7557951.487,9.846
759,7557951.487,7557961.377,9.890
760,7557961.378,7557971.275,9.897
761,7557971.275,7557981.160,9.885
762,7557981.160,7557991.061,9.901
763,7557991.062,7558000.962,9.900
764,7558000.963,7558010.882,9.919
765,7558010.883,7558020.774,9.891
766,7558020.774,7558030.660,9.886
767,7558030.661,7558040.592,9.931
768,7558040.593,7558050.476,9.884
769,7558050.477,7558060.359,9.882
770,7558060.359,7558070.202,9.843
771,7558070.202,7558080.122,9.919
